id,titulo,slug,url,descripcion,keyword_principal,cluster,pagina_pilar,status,fecha_publicacion,fecha_actualizacion,ruta_archivo
1,Licencia de obra menor en Madrid: cuándo se necesita y cómo tramitarla,licencia-obra-menor-madrid,/blog/licencia-obra-menor-madrid,"Descubre cuándo una reforma en Madrid puede requerir declaración responsable o licencia, qué documentos preparar y dónde confirmar el trámite vigente.",licencia obra menor Madrid,6-permisos-licencias,/servicios/reformas-integrales,publicado,2026-07-10,2026-07-10,content/blog/licencia-obra-menor-madrid.md
2,Cocina abierta o cerrada: qué conviene más en tu reforma en Madrid,cocina-abierta-vs-cerrada,/blog/cocina-abierta-vs-cerrada,"Comparamos cocina abierta y cerrada para tu reforma en Madrid: ventajas, inconvenientes, tabla comparativa y claves para decidir según tu vivienda.",cocina abierta vs cerrada,12-comparativas-dudas,/servicios/reformas-banos-cocinas,publicado,2026-07-13,2026-07-13,content/blog/cocina-abierta-vs-cerrada.md
2,Cómo contratar una empresa de reformas en Madrid sin arriesgarte,contratar-empresa-reformas-madrid,/blog/contratar-empresa-reformas-madrid,"Aprende a contratar una empresa de reformas en Madrid con garantías: qué comprobar antes, señales de alarma y qué debe incluir un presupuesto serio.",contratar empresa reformas Madrid,7-consejos-antes-reformar,/servicios/reformas-integrales,publicado,2026-07-13,2026-07-13,content/blog/contratar-empresa-reformas-madrid.md
2,Qué incluye una reforma de baño completa en Madrid: fases y partidas,que-incluye-reforma-bano-completa-madrid,/blog/que-incluye-reforma-bano-completa-madrid,"Descubre qué incluye una reforma de baño completa en Madrid: fases de la obra en orden, partidas habituales, qué suele quedar fuera y cómo planificarla.",qué incluye una reforma de baño completa,2-reformas-banos,/servicios/reformas-banos-cocinas,publicado,2026-07-13,2026-07-13,content/blog/que-incluye-reforma-bano-completa-madrid.md
6,¿Cuánto cuesta reformar un baño en Madrid? Guía de precios 2026,cuanto-cuesta-reformar-bano-madrid,/blog/cuanto-cuesta-reformar-bano-madrid,"Consulta cuánto cuesta reformar un baño en Madrid en 2026, qué partidas influyen y cómo solicitar un presupuesto adaptado al espacio y las calidades elegidas.",cuánto cuesta reformar baño Madrid,2-reformas-banos,/servicios/reformas-banos-cocinas,publicado,2026-07-10,2026-07-10,content/blog/cuanto-cuesta-reformar-bano-madrid.md
8,Qué incluye una reforma de cocina en Madrid: partidas y fases del proyecto,que-incluye-reforma-cocina-madrid,/blog/que-incluye-reforma-cocina-madrid,"Descubre qué incluye una reforma de cocina en Madrid: partidas principales, fases de la obra, qué suele quedar fuera y cómo planificar los costes.",qué incluye una reforma de cocina en Madrid,3-reformas-cocinas,/servicios/reformas-banos-cocinas,publicado,2026-07-20,2026-07-20,content/blog/que-incluye-reforma-cocina-madrid.md
9,Cédula de habitabilidad y reformas en Madrid: qué debes saber,cedula-habitabilidad-reforma-madrid,/blog/cedula-habitabilidad-reforma-madrid,"Descubre qué es la cédula de habitabilidad en Madrid, si es obligatoria en reformas, qué requisitos técnicos se exigen y cómo tramitarla.",cédula habitabilidad reforma Madrid,6-permisos-licencias,/servicios/reformas-integrales,publicado,2026-07-22,2026-07-22,content/blog/cedula-habitabilidad-reforma-madrid.md
9,¿Cuánto cuesta una reforma integral en Madrid? Guía de precios 2026,cuanto-cuesta-reforma-integral-madrid,/blog/cuanto-cuesta-reforma-integral-madrid,"Consulta precios orientativos de una reforma integral en Madrid en 2026, qué partidas influyen y cómo solicitar un presupuesto para tu vivienda en Madrid.",cuánto cuesta reforma integral Madrid,5-precios-presupuestos,/servicios/reformas-integrales,publicado,2026-07-10,2026-07-10,content/blog/cuanto-cuesta-reforma-integral-madrid.md
10,Suelo laminado o parquet: qué elegir en una reforma en Madrid,suelo-laminado-parquet-madrid,/blog/suelo-laminado-parquet-madrid,"Comparamos suelo laminado y parquet para tu reforma en Madrid: durabilidad, resistencia a humedad, mantenimiento, precios y qué opción conviene a tu hogar.",suelo laminado vs parquet Madrid,10-materiales-acabados,/servicios/pintura-pladur-albanileria,publicado,2026-07-24,2026-07-24,content/blog/suelo-laminado-parquet-madrid.md
